Year,District_Code,District_Name,Neighborhood_Code,Neighborhood_Name,Gender,Age,Number
2014,8,Nou Barris,45,Porta,Male,25-29,659
2017,8,Nou Barris,49,Canyelles,Female,75-79,176
2016,8,Nou Barris,49,Canyelles,Female,50-54,135
2015,2,Eixample,10,Sant Antoni,Male,80-84,548
2015,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Male,65-69,710
2015,9,Sant Andreu,59,el Bon Pastor,Female,>=95,17
2014,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Male,70-74,240
2013,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Male,20-24,915
2014,7,Horta-Guinardó,43,Horta,Male,50-54,903
2017,9,Sant Andreu,58,Baró de Viver,Female,90-94,14
2015,1,Ciutat Vella,1,el Raval,Female,40-44,1782
2016,5,Sarrià-Sant Gervasi,23,Sarrià,Male,80-84,322
2015,9,Sant Andreu,62,el Congrés i els Indians,Female,75-79,251
2017,7,Horta-Guinardó,33,el Baix Guinardó,Male,75-79,424
2016,7,Horta-Guinardó,43,Horta,Female,70-74,870
2017,7,Horta-Guinardó,42,la Clota,Female,45-49,27
2015,9,Sant Andreu,58,Baró de Viver,Female,5-9,60
2016,10,Sant Martí,68,el Poblenou,Female,20-24,456
2015,10,Sant Martí,73,la Verneda i la Pau,Male,70-74,766
2014,9,Sant Andreu,63,Navas,Female,90-94,159
2013,8,Nou Barris,48,la Guineueta,Male,70-74,382
2017,1,Ciutat Vella,3,la Barceloneta,Male,75-79,203
2013,2,Eixample,9,la Nova Esquerra de l'Eixample,Male,15-19,1058
2013,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Male,65-69,601
2017,6,Gràcia,28,Vallcarca i els Penitents,Male,20-24,324
2014,8,Nou Barris,48,la Guineueta,Male,70-74,403
2013,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Male,60-64,754
2015,9,Sant Andreu,63,Navas,Female,65-69,834
2016,7,Horta-Guinardó,37,el Carmel,Male,25-29,858
2014,8,Nou Barris,51,Verdun,Male,85-89,80
2017,10,Sant Martí,68,el Poblenou,Female,50-54,1266
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Male,20-24,569
2016,8,Nou Barris,47,Can Peguera,Male,5-9,55
2017,8,Nou Barris,51,Verdun,Male,85-89,108
2015,8,Nou Barris,56,Vallbona,Male,0-4,32
2016,3,Sants-Montjuïc,13,la Marina de Port,Female,85-89,399
2017,7,Horta-Guinardó,43,Horta,Female,85-89,504
2014,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Male,10-14,23
2016,4,Les Corts,21,Pedralbes,Male,75-79,224
2013,3,Sants-Montjuïc,15,Hostafrancs,Female,5-9,301
2015,6,Gràcia,30,la Salut,Male,0-4,303
2013,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Female,50-54,951
2014,9,Sant Andreu,61,la Sagrera,Female,80-84,463
2016,9,Sant Andreu,57,la Trinitat Vella,Female,0-4,281
2015,7,Horta-Guinardó,37,el Carmel,Female,40-44,1311
2014,4,Les Corts,19,les Corts,Female,15-19,853
2013,2,Eixample,5,el Fort Pienc,Female,40-44,914
2015,8,Nou Barris,49,Canyelles,Male,15-19,115
2017,10,Sant Martí,64,el Camp de l'Arpa del Clot,Female,75-79,828
2016,8,Nou Barris,49,Canyelles,Female,30-34,177
2014,10,Sant Martí,71,Provençals del Poblenou,Male,50-54,755
2015,4,Les Corts,20,la Maternitat i Sant Ramon,Female,30-34,860
2014,8,Nou Barris,54,Torre Baró,Male,>=95,0
2013,6,Gràcia,28,Vallcarca i els Penitents,Male,>=95,10
2014,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Female,65-69,397
2017,10,Sant Martí,67,la Vila Olímpica del Poblenou,Male,35-39,258
2016,3,Sants-Montjuïc,13,la Marina de Port,Male,5-9,762
2017,8,Nou Barris,50,les Roquetes,Male,20-24,438
2013,7,Horta-Guinardó,35,el Guinardó,Female,>=95,71
2013,7,Horta-Guinardó,42,la Clota,Male,55-59,5
2014,2,Eixample,6,la Sagrada Família,Male,45-49,1425
2015,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Male,>=95,2
