Year,District_Code,District_Name,Neighborhood_Code,Neighborhood_Name,Gender,Age,Number
2017,8,Nou Barris,55,Ciutat Meridiana,Male,40-44,501
2017,7,Horta-Guinardó,34,Can Baró,Male,65-69,126
2016,7,Horta-Guinardó,34,Can Baró,Male,5-9,145
2015,1,Ciutat Vella,3,la Barceloneta,Male,50-54,480
2013,9,Sant Andreu,59,el Bon Pastor,Male,0-4,436
2017,7,Horta-Guinardó,39,Sant Genís dels Agudells,Female,0-4,97
2015,8,Nou Barris,46,el Turó de la Peira,Male,15-19,328
2015,7,Horta-Guinardó,39,Sant Genís dels Agudells,Female,90-94,44
2017,10,Sant Martí,71,Provençals del Poblenou,Male,85-89,145
2013,9,Sant Andreu,57,la Trinitat Vella,Male,40-44,505
2017,10,Sant Martí,70,el Besòs i el Maresme,Male,80-84,346
2014,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Male,10-14,455
2015,10,Sant Martí,72,Sant Martí de Provençals,Female,40-44,1098
2015,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Female,55-59,286
2013,7,Horta-Guinardó,34,Can Baró,Female,30-34,334
2017,4,Les Corts,19,les Corts,Female,85-89,742
2014,10,Sant Martí,71,Provençals del Poblenou,Female,75-79,437
2014,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Female,15-19,670
2013,6,Gràcia,30,la Salut,Female,60-64,526
2017,2,Eixample,9,la Nova Esquerra de l'Eixample,Female,70-74,1687
2016,2,Eixample,6,la Sagrada Família,Male,25-29,1748
2015,8,Nou Barris,50,les Roquetes,Male,10-14,385
2016,3,Sants-Montjuïc,14,la Font de la Guatlla,Female,75-79,209
2017,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Female,35-39,791
2015,7,Horta-Guinardó,43,Horta,Female,5-9,541
2014,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Male,90-94,31
2013,4,Les Corts,19,les Corts,Female,45-49,1642
2016,8,Nou Barris,54,Torre Baró,Female,>=95,3
2016,10,Sant Martí,70,el Besòs i el Maresme,Male,70-74,327
2015,3,Sants-Montjuïc,15,Hostafrancs,Male,65-69,213
2013,6,Gràcia,28,Vallcarca i els Penitents,Male,65-69,328
2017,10,Sant Martí,64,el Camp de l'Arpa del Clot,Female,0-4,732
2017,7,Horta-Guinardó,38,la Teixonera,Female,40-44,392
2013,8,Nou Barris,50,les Roquetes,Male,25-29,551
2017,8,Nou Barris,49,Canyelles,Male,10-14,137
2017,6,Gràcia,30,la Salut,Female,30-34,509
2013,3,Sants-Montjuïc,16,la Bordeta,Male,0-4,230
2015,3,Sants-Montjuïc,13,la Marina de Port,Female,80-84,696
2013,10,Sant Martí,65,el Clot,Female,10-14,556
2017,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Male,15-19,19
2013,5,Sarrià-Sant Gervasi,23,Sarrià,Female,0-4,693
2016,3,Sants-Montjuïc,17,Sants - Badal,Male,60-64,684
2015,9,Sant Andreu,62,el Congrés i els Indians,Female,35-39,557
2013,7,Horta-Guinardó,34,Can Baró,Male,10-14,176
2013,3,Sants-Montjuïc,14,la Font de la Guatlla,Male,40-44,438
