Year,District_Code,District_Name,Neighborhood_Code,Neighborhood_Name,Gender,Age,Number
2015,10,Sant Martí,73,la Verneda i la Pau,Female,90-94,205
2017,9,Sant Andreu,58,Baró de Viver,Male,0-4,37
2015,3,Sants-Montjuïc,14,la Font de la Guatlla,Male,80-84,136
2013,10,Sant Martí,68,el Poblenou,Male,10-14,748
2016,9,Sant Andreu,63,Navas,Male,60-64,579
2014,8,Nou Barris,56,Vallbona,Male,30-34,51
2013,3,Sants-Montjuïc,14,la Font de la Guatlla,Female,5-9,176
2017,7,Horta-Guinardó,43,Horta,Male,15-19,451
2017,10,Sant Martí,71,Provençals del Poblenou,Female,0-4,507
2017,4,Les Corts,21,Pedralbes,Female,10-14,376
2016,8,Nou Barris,52,la Prosperitat,Female,65-69,855
2014,7,Horta-Guinardó,40,Montbau,Female,30-34,149
2014,7,Horta-Guinardó,38,la Teixonera,Female,85-89,165
2013,3,Sants-Montjuïc,14,la Font de la Guatlla,Male,35-39,345
2013,2,Eixample,5,el Fort Pienc,Male,70-74,538
2013,7,Horta-Guinardó,37,el Carmel,Female,25-29,961
2017,7,Horta-Guinardó,33,el Baix Guinardó,Male,60-64,686
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Female,85-89,840
2013,8,Nou Barris,49,Canyelles,Male,15-19,155
2016,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Female,75-79,684
2014,8,Nou Barris,48,la Guineueta,Female,15-19,283
2015,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Female,20-24,344
2014,7,Horta-Guinardó,42,la Clota,Female,35-39,23
2015,5,Sarrià-Sant Gervasi,23,Sarrià,Female,50-54,697
2014,9,Sant Andreu,61,la Sagrera,Male,80-84,404
2016,6,Gràcia,28,Vallcarca i els Penitents,Female,5-9,352
2014,8,Nou Barris,55,Ciutat Meridiana,Female,15-19,254
2013,4,Les Corts,20,la Maternitat i Sant Ramon,Male,30-34,876
2017,3,Sants-Montjuïc,15,Hostafrancs,Female,45-49,540
2014,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Female,5-9,261
2017,1,Ciutat Vella,1,el Raval,Male,25-29,2778
2014,10,Sant Martí,67,la Vila Olímpica del Poblenou,Male,75-79,75
2014,3,Sants-Montjuïc,16,la Bordeta,Male,85-89,122
2013,5,Sarrià-Sant Gervasi,24,les Tres Torres,Female,60-64,508
2014,1,Ciutat Vella,3,la Barceloneta,Female,25-29,689
2016,7,Horta-Guinardó,43,Horta,Male,55-59,794
2015,7,Horta-Guinardó,34,Can Baró,Female,90-94,69
2014,3,Sants-Montjuïc,16,la Bordeta,Male,30-34,558
2013,8,Nou Barris,46,el Turó de la Peira,Male,50-54,566
2017,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Male,45-49,925
2015,5,Sarrià-Sant Gervasi,24,les Tres Torres,Male,75-79,204
2014,7,Horta-Guinardó,33,el Baix Guinardó,Male,30-34,969
2014,8,Nou Barris,51,Verdun,Female,20-24,286
2017,10,Sant Martí,68,el Poblenou,Female,60-64,816
2015,9,Sant Andreu,58,Baró de Viver,Female,65-69,35
2016,9,Sant Andreu,60,Sant Andreu,Male,55-59,1848
2015,9,Sant Andreu,60,Sant Andreu,Male,5-9,1317
2013,2,Eixample,7,la Dreta de l'Eixample,Female,45-49,1583
2016,7,Horta-Guinardó,41,la Vall d'Hebron,Male,60-64,109
2017,10,Sant Martí,73,la Verneda i la Pau,Female,40-44,1109
2015,9,Sant Andreu,62,el Congrés i els Indians,Male,0-4,256
2015,10,Sant Martí,68,el Poblenou,Male,50-54,1097
2015,10,Sant Martí,64,el Camp de l'Arpa del Clot,Female,50-54,1399
2013,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Female,5-9,125
2014,7,Horta-Guinardó,42,la Clota,Female,50-54,6
2017,3,Sants-Montjuïc,17,Sants - Badal,Female,60-64,868
2016,6,Gràcia,28,Vallcarca i els Penitents,Female,20-24,324
2013,9,Sant Andreu,58,Baró de Viver,Male,20-24,85
2015,7,Horta-Guinardó,43,Horta,Female,15-19,502
2013,10,Sant Martí,72,Sant Martí de Provençals,Female,70-74,806
2015,7,Horta-Guinardó,35,el Guinardó,Female,35-39,1594
2017,9,Sant Andreu,57,la Trinitat Vella,Female,70-74,198
2014,10,Sant Martí,67,la Vila Olímpica del Poblenou,Male,40-44,370
2013,10,Sant Martí,72,Sant Martí de Provençals,Male,55-59,668
2013,5,Sarrià-Sant Gervasi,23,Sarrià,Male,15-19,381
2015,10,Sant Martí,70,el Besòs i el Maresme,Male,90-94,47
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Male,70-74,260
2014,10,Sant Martí,65,el Clot,Female,90-94,145
2014,2,Eixample,6,la Sagrada Família,Male,65-69,1195
2017,7,Horta-Guinardó,42,la Clota,Female,65-69,3
2017,7,Horta-Guinardó,33,el Baix Guinardó,Male,15-19,484
2013,7,Horta-Guinardó,38,la Teixonera,Female,25-29,350
2016,10,Sant Martí,72,Sant Martí de Provençals,Male,75-79,444
2017,7,Horta-Guinardó,34,Can Baró,Male,>=95,5
