Year,District_Code,District_Name,Neighborhood_Code,Neighborhood_Name,Gender,Age,Number
2015,8,Nou Barris,54,Torre Baró,Female,0-4,56
2013,2,Eixample,5,el Fort Pienc,Male,>=95,15
2016,2,Eixample,10,Sant Antoni,Female,75-79,981
2015,1,Ciutat Vella,2,el Barri Gòtic,Male,45-49,690
2014,2,Eixample,9,la Nova Esquerra de l'Eixample,Male,25-29,2071
2014,4,Les Corts,21,Pedralbes,Female,25-29,273
2016,4,Les Corts,20,la Maternitat i Sant Ramon,Female,15-19,430
2014,8,Nou Barris,50,les Roquetes,Male,35-39,738
2015,8,Nou Barris,53,la Trinitat Nova,Male,40-44,315
2013,8,Nou Barris,52,la Prosperitat,Female,85-89,340
2014,6,Gràcia,28,Vallcarca i els Penitents,Female,80-84,366
2013,10,Sant Martí,68,el Poblenou,Male,20-24,647
2016,7,Horta-Guinardó,39,Sant Genís dels Agudells,Female,40-44,234
2017,3,Sants-Montjuïc,14,la Font de la Guatlla,Male,10-14,165
2014,8,Nou Barris,50,les Roquetes,Male,10-14,308
2013,7,Horta-Guinardó,33,el Baix Guinardó,Male,50-54,810
2016,3,Sants-Montjuïc,14,la Font de la Guatlla,Male,80-84,133
2014,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Female,5-9,359
2016,9,Sant Andreu,63,Navas,Male,55-59,675
2014,8,Nou Barris,45,Porta,Male,85-89,227
2014,7,Horta-Guinardó,42,la Clota,Male,90-94,1
2014,9,Sant Andreu,59,el Bon Pastor,Female,50-54,328
2013,8,Nou Barris,48,la Guineueta,Female,75-79,468
2015,2,Eixample,9,la Nova Esquerra de l'Eixample,Female,50-54,2064
2016,7,Horta-Guinardó,35,el Guinardó,Female,30-34,1429
2016,3,Sants-Montjuïc,11,el Poble Sec,Female,40-44,1706
2015,7,Horta-Guinardó,36,la Font d'en Fargues,Female,25-29,229
2013,8,Nou Barris,45,Porta,Female,20-24,491
2016,9,Sant Andreu,63,Navas,Female,70-74,700
2015,8,Nou Barris,56,Vallbona,Male,5-9,57
2015,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Male,40-44,203
2017,7,Horta-Guinardó,42,la Clota,Male,70-74,6
2016,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Female,85-89,103
2015,2,Eixample,5,el Fort Pienc,Male,70-74,596
2014,3,Sants-Montjuïc,16,la Bordeta,Female,55-59,739
2016,6,Gràcia,30,la Salut,Male,20-24,295
2017,8,Nou Barris,47,Can Peguera,Male,50-54,95
2017,2,Eixample,10,Sant Antoni,Female,25-29,1377
2013,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Female,65-69,638
2017,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Female,10-14,133
2015,3,Sants-Montjuïc,15,Hostafrancs,Male,85-89,118
2015,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Female,30-34,887
2016,6,Gràcia,30,la Salut,Male,5-9,259
2013,9,Sant Andreu,63,Navas,Female,90-94,150
2015,10,Sant Martí,73,la Verneda i la Pau,Female,40-44,1057
2017,6,Gràcia,28,Vallcarca i els Penitents,Male,90-94,54
2015,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Male,20-24,710
2014,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Female,45-49,791
2016,4,Les Corts,21,Pedralbes,Male,40-44,338
