Year,District_Code,District_Name,Neighborhood_Code,Neighborhood_Name,Gender,Age,Number
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Male,85-89,120
2013,2,Eixample,9,la Nova Esquerra de l'Eixample,Female,45-49,2029
2014,9,Sant Andreu,57,la Trinitat Vella,Female,5-9,282
2017,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Male,5-9,699
2017,6,Gràcia,29,el Coll,Female,55-59,262
2017,8,Nou Barris,50,les Roquetes,Female,55-59,503
2016,8,Nou Barris,45,Porta,Male,60-64,419
2015,10,Sant Martí,72,Sant Martí de Provençals,Female,45-49,1009
2014,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Male,25-29,890
2014,9,Sant Andreu,58,Baró de Viver,Male,40-44,65
2013,10,Sant Martí,68,el Poblenou,Female,70-74,565
2015,5,Sarrià-Sant Gervasi,24,les Tres Torres,Female,15-19,478
2014,2,Eixample,6,la Sagrada Família,Female,15-19,852
2014,8,Nou Barris,52,la Prosperitat,Female,65-69,975
2013,4,Les Corts,20,la Maternitat i Sant Ramon,Male,20-24,573
2017,10,Sant Martí,67,la Vila Olímpica del Poblenou,Male,5-9,257
2016,8,Nou Barris,51,Verdun,Female,0-4,275
2016,10,Sant Martí,71,Provençals del Poblenou,Female,15-19,317
2016,8,Nou Barris,52,la Prosperitat,Female,80-84,705
2014,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Male,90-94,93
2016,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Female,10-14,642
2013,10,Sant Martí,68,el Poblenou,Female,30-34,1417
2017,8,Nou Barris,54,Torre Baró,Male,90-94,3
2016,5,Sarrià-Sant Gervasi,24,les Tres Torres,Female,65-69,474
2014,3,Sants-Montjuïc,14,la Font de la Guatlla,Female,70-74,261
2013,5,Sarrià-Sant Gervasi,24,les Tres Torres,Male,15-19,457
2017,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Male,10-14,539
2015,6,Gràcia,28,Vallcarca i els Penitents,Female,30-34,592
2015,8,Nou Barris,53,la Trinitat Nova,Female,0-4,183
2014,8,Nou Barris,46,el Turó de la Peira,Female,5-9,338
2017,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Male,50-54,388
2017,3,Sants-Montjuïc,17,Sants - Badal,Female,65-69,646
2017,2,Eixample,10,Sant Antoni,Male,55-59,1106
2014,10,Sant Martí,73,la Verneda i la Pau,Female,15-19,552
2015,6,Gràcia,28,Vallcarca i els Penitents,Male,50-54,472
2017,8,Nou Barris,47,Can Peguera,Female,0-4,24
2015,6,Gràcia,29,el Coll,Male,5-9,180
2014,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Male,70-74,910
2017,3,Sants-Montjuïc,15,Hostafrancs,Male,90-94,51
2014,10,Sant Martí,73,la Verneda i la Pau,Male,90-94,67
2016,7,Horta-Guinardó,43,Horta,Male,85-89,236
2015,8,Nou Barris,53,la Trinitat Nova,Female,5-9,176
2015,8,Nou Barris,51,Verdun,Female,50-54,431
2013,10,Sant Martí,64,el Camp de l'Arpa del Clot,Male,35-39,1423
2016,5,Sarrià-Sant Gervasi,24,les Tres Torres,Female,60-64,466
2015,10,Sant Martí,70,el Besòs i el Maresme,Male,85-89,207
2017,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Female,55-59,1740
2017,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Male,60-64,33
2017,9,Sant Andreu,61,la Sagrera,Male,90-94,79
2016,6,Gràcia,31,la Vila de Gràcia,Male,60-64,1096
2013,6,Gràcia,29,el Coll,Female,5-9,123
2015,5,Sarrià-Sant Gervasi,24,les Tres Torres,Male,10-14,516
2016,9,Sant Andreu,59,el Bon Pastor,Female,15-19,271
2016,2,Eixample,5,el Fort Pienc,Male,85-89,241
2014,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Male,90-94,167
2013,7,Horta-Guinardó,38,la Teixonera,Female,80-84,177
2015,7,Horta-Guinardó,34,Can Baró,Male,45-49,336
2014,8,Nou Barris,52,la Prosperitat,Female,80-84,644
2013,8,Nou Barris,51,Verdun,Female,40-44,491
2016,1,Ciutat Vella,2,el Barri Gòtic,Male,45-49,645
2014,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Female,>=95,86
2013,9,Sant Andreu,60,Sant Andreu,Female,65-69,1718
2014,7,Horta-Guinardó,41,la Vall d'Hebron,Female,65-69,250
2013,2,Eixample,7,la Dreta de l'Eixample,Male,80-84,578
2015,7,Horta-Guinardó,34,Can Baró,Male,0-4,157
2015,2,Eixample,7,la Dreta de l'Eixample,Male,40-44,1727
2013,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Male,90-94,126
2017,7,Horta-Guinardó,43,Horta,Male,75-79,521
2013,6,Gràcia,31,la Vila de Gràcia,Female,85-89,1008
2015,10,Sant Martí,72,Sant Martí de Provençals,Male,65-69,640
2015,3,Sants-Montjuïc,15,Hostafrancs,Male,40-44,646
2016,6,Gràcia,30,la Salut,Male,85-89,103
2014,2,Eixample,6,la Sagrada Família,Female,10-14,850
2016,4,Les Corts,19,les Corts,Male,30-34,1528
2013,1,Ciutat Vella,3,la Barceloneta,Male,>=95,6
2017,4,Les Corts,21,Pedralbes,Male,90-94,48
2016,3,Sants-Montjuïc,14,la Font de la Guatlla,Female,10-14,175
2013,8,Nou Barris,45,Porta,Male,50-54,407
