Year,District_Code,District_Name,Neighborhood_Code,Neighborhood_Name,Gender,Age,Number
2016,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Male,10-14,34
2016,3,Sants-Montjuïc,15,Hostafrancs,Male,85-89,117
2017,7,Horta-Guinardó,42,la Clota,Female,20-24,5
2015,2,Eixample,6,la Sagrada Família,Male,50-54,1659
2017,10,Sant Martí,70,el Besòs i el Maresme,Male,45-49,858
2015,7,Horta-Guinardó,34,Can Baró,Male,65-69,200
2015,2,Eixample,6,la Sagrada Família,Male,5-9,885
2013,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Female,60-64,21
2017,7,Horta-Guinardó,42,la Clota,Female,85-89,1
2016,9,Sant Andreu,57,la Trinitat Vella,Male,70-74,159
2014,7,Horta-Guinardó,41,la Vall d'Hebron,Male,35-39,155
2015,9,Sant Andreu,60,Sant Andreu,Male,25-29,1489
2015,1,Ciutat Vella,3,la Barceloneta,Female,0-4,235
2013,2,Eixample,9,la Nova Esquerra de l'Eixample,Male,20-24,1415
2013,7,Horta-Guinardó,34,Can Baró,Male,35-39,377
2017,7,Horta-Guinardó,34,Can Baró,Female,70-74,160
2013,3,Sants-Montjuïc,16,la Bordeta,Male,70-74,340
2017,10,Sant Martí,72,Sant Martí de Provençals,Male,35-39,736
2013,9,Sant Andreu,59,el Bon Pastor,Male,55-59,303
2015,6,Gràcia,30,la Salut,Male,25-29,403
2013,7,Horta-Guinardó,33,el Baix Guinardó,Male,25-29,607
2013,8,Nou Barris,50,les Roquetes,Female,20-24,456
2014,2,Eixample,6,la Sagrada Família,Female,60-64,1671
2015,7,Horta-Guinardó,41,la Vall d'Hebron,Male,55-59,147
2013,10,Sant Martí,71,Provençals del Poblenou,Male,65-69,257
2015,2,Eixample,10,Sant Antoni,Female,55-59,1278
2013,3,Sants-Montjuïc,17,Sants - Badal,Female,10-14,417
2016,8,Nou Barris,50,les Roquetes,Female,45-49,625
2013,2,Eixample,7,la Dreta de l'Eixample,Male,25-29,1448
2017,8,Nou Barris,53,la Trinitat Nova,Male,75-79,59
2017,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Female,20-24,32
2016,8,Nou Barris,45,Porta,Male,90-94,84
2015,8,Nou Barris,54,Torre Baró,Female,45-49,101
2015,1,Ciutat Vella,1,el Raval,Male,5-9,1056
2015,7,Horta-Guinardó,34,Can Baró,Male,10-14,141
2016,8,Nou Barris,54,Torre Baró,Male,75-79,26
2015,9,Sant Andreu,63,Navas,Male,80-84,277
2014,10,Sant Martí,65,el Clot,Male,60-64,809
2013,9,Sant Andreu,57,la Trinitat Vella,Female,70-74,157
2016,7,Horta-Guinardó,43,Horta,Male,35-39,977
2015,8,Nou Barris,50,les Roquetes,Male,55-59,412
2014,6,Gràcia,30,la Salut,Male,45-49,394
2014,9,Sant Andreu,57,la Trinitat Vella,Female,30-34,422
2017,9,Sant Andreu,60,Sant Andreu,Male,60-64,1627
2015,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Male,90-94,118
2015,7,Horta-Guinardó,40,Montbau,Female,10-14,86
2014,3,Sants-Montjuïc,14,la Font de la Guatlla,Male,50-54,322
2014,4,Les Corts,21,Pedralbes,Male,10-14,268
2017,3,Sants-Montjuïc,17,Sants - Badal,Female,30-34,761
2015,8,Nou Barris,49,Canyelles,Male,10-14,170
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Female,40-44,1589
2016,1,Ciutat Vella,1,el Raval,Female,85-89,486
2016,8,Nou Barris,47,Can Peguera,Male,70-74,25
2016,10,Sant Martí,70,el Besòs i el Maresme,Male,35-39,892
2016,10,Sant Martí,67,la Vila Olímpica del Poblenou,Male,>=95,1
2016,7,Horta-Guinardó,36,la Font d'en Fargues,Female,20-24,210
2015,1,Ciutat Vella,1,el Raval,Male,0-4,1108
2016,2,Eixample,5,el Fort Pienc,Female,15-19,573
2015,7,Horta-Guinardó,35,el Guinardó,Male,90-94,96
2015,8,Nou Barris,51,Verdun,Female,45-49,373
2016,3,Sants-Montjuïc,16,la Bordeta,Female,10-14,352
2014,8,Nou Barris,56,Vallbona,Male,80-84,9
2013,1,Ciutat Vella,3,la Barceloneta,Female,60-64,339
2014,7,Horta-Guinardó,36,la Font d'en Fargues,Male,10-14,206
2015,7,Horta-Guinardó,38,la Teixonera,Female,60-64,273
2016,1,Ciutat Vella,2,el Barri Gòtic,Female,50-54,424
2013,9,Sant Andreu,61,la Sagrera,Female,45-49,1047
2014,7,Horta-Guinardó,39,Sant Genís dels Agudells,Male,0-4,104
2013,6,Gràcia,29,el Coll,Female,40-44,222
2016,3,Sants-Montjuïc,15,Hostafrancs,Female,10-14,227
2014,8,Nou Barris,45,Porta,Female,>=95,40
2014,8,Nou Barris,56,Vallbona,Female,>=95,4
2016,9,Sant Andreu,59,el Bon Pastor,Male,>=95,1
2015,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Female,>=95,17
